Timestamp,Left elbow angle,Right elbow angle,Left knee angle,Right knee angle,Nose(X),Nose(Y),Neck(X),Neck(Y),ShoulderRight(X),ShoulderRight(Y),ElbowRight(X),ElbowRight(Y),WristRight(X),WristRight(Y),ShoulderLeft(X),ShoulderLeft(Y),ElbowLeft(X),ElbowLeft(Y),WristLeft(X),WristLeft(Y),HipRight(X),HipRight(Y),KneeRight(X),KneeRight(Y),AnkleRight(X),AnkleRight(Y),HipLeft(X),HipLeft(Y),KneeLeft(X),KneeLeft(Y),AnkleLeft(X),AnkleLeft(Y),EyeRight(X),EyeRight(Y),EyeLeft(X),EyeLeft(Y),EarRight(X),EarRight(Y),EarLeft(X),EarLeft(Y),FootLeft(X),FootLeft(Y),FootRight(X),FootRight(Y),Pelvis(X),Pelvis(Y),Waist(X),Waist(Y),Chest(X),Chest(Y)
621376045968575148,180,180,180,180,268,947,274,1211,-1,-1,-1,-1,-1,-1,586,1157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,167,829,352,826,46,891,462,891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045968918385,180,180,180,180,267,943,284,1205,-1,-1,-1,-1,-1,-1,596,1166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,171,825,357,821,46,872,469,875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045969577157,180,180,180,180,267,938,282,1200,-1,-1,-1,-1,-1,-1,608,1157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,821,361,823,46,854,476,860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045970247375,180,180,180,180,271,931,284,1196,-1,-1,-1,-1,-1,-1,608,1153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,177,811,364,812,46,842,482,845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045970574586,180,180,180,180,271,924,285,1196,-1,-1,-1,-1,-1,-1,608,1149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,805,367,806,46,840,485,841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045970910765,180,180,180,180,275,918,287,1196,-1,-1,-1,-1,-1,-1,610,1146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,791,367,792,46,837,486,838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045971242877,180,180,180,180,277,905,288,1184,-1,-1,-1,-1,-1,-1,610,1146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,785,367,786,46,837,486,838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045971932660,180,180,180,180,282,897,288,1184,-1,-1,-1,-1,-1,-1,614,1139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183,778,371,780,47,832,488,833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045972596689,180,180,180,180,282,897,293,1168,-1,-1,-1,-1,-1,-1,618,1127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,185,778,373,780,52,828,490,828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045973094729,180,180,180,180,288,895,293,1131,-1,-1,-1,-1,-1,-1,620,1115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,194,755,379,754,51,804,490,825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045973430961,180,180,179,174,423,133,448,167,445,172,490,186,-1,-1,451,150,496,141,-1,-1,547,175,600,183,665,186,549,169,597,172,659,175,414,138,-1,-1,414,152,-1,-1,-1,-1,-1,-1,548,172,518,170,478,168
621376045973758278,180,180,180,180,296,809,299,1051,-1,-1,-1,-1,-1,-1,631,1034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,198,700,386,697,66,739,504,731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045974095972,180,180,180,180,295,805,298,1038,-1,-1,-1,-1,-1,-1,625,1021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196,690,383,680,56,729,496,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045974444184,134,149,0,155,600,141,555,147,555,119,499,116,490,110,555,183,493,189,414,122,482,130,468,122,414,116,465,172,451,158,-1,-1,608,133,608,144,606,124,603,155,-1,-1,-1,-1,473,151,481,150,513,148
621376045974760653,180,180,180,180,274,750,285,947,-1,-1,-1,-1,-1,-1,608,955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,635,369,632,54,669,485,649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045975094406,180,180,180,180,272,750,279,937,-1,-1,-1,-1,-1,-1,597,936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,624,364,621,45,647,473,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045975428607,180,180,180,180,272,734,274,927,-1,-1,-1,-1,-1,-1,583,916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,172,613,358,610,35,647,461,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045975762507,179,180,180,180,272,720,270,922,-1,-1,-1,-1,-1,-1,583,906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,166,602,352,600,36,641,462,631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045976109335,179,180,180,180,272,710,268,912,-1,-1,-1,-1,-1,-1,577,895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,593,358,591,40,643,463,611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045976424588,179,180,180,180,273,700,271,912,-1,-1,-1,-1,-1,-1,578,889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,584,358,583,45,642,466,606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045976759595,180,180,180,180,273,691,273,899,-1,-1,-1,-1,-1,-1,578,882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,581,360,580,52,640,464,604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045977092576,180,180,180,180,275,687,271,891,-1,-1,-1,-1,-1,-1,575,873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,179,574,362,573,63,638,464,604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045977436080,180,180,180,180,277,686,269,875,4,893,-1,-1,-1,-1,571,858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,179,574,362,571,71,633,464,603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045977758711,180,180,180,180,278,683,267,872,4,890,-1,-1,-1,-1,565,857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,182,570,365,567,73,624,464,596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
621376045978091846,180,180,180,180,283,679,267,868,4,884,-1,-1,-1,-1,564,851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184,567,365,567,75,618,466,597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
